Date,User,Message
2025-02-26 15:16:53,"깡회장님","깡회장님님이 캐이 코치님, 조재훈님, 미진실장님님과 황여진님을 초대했습니다."
2025-02-26 15:16:53,"깡회장님","안녕하세요 대표님❤
화창하다의 교육생이 되신것을 축하드리며,
대표님만을 위한 학습지원방이 오픈되었습니다! 

오로지 우리 대표님의 성장과 성공을 도와드리는 단톡방이니 개인적인 질문이 있다면 여기를 활용해주세요!

또한 저와 인연이 된만큼 제가 대표님의 인생터닝포인트가 되길 바라겠습니다!!"
2025-02-26 15:16:55,"깡회장님","사진"
2025-02-26 15:16:59,"깡회장님","이거 제 개인번호가 작성되어있는 명함입니다:) 혹시라도 개인적인 질문이 있거나 통화하고싶은 내용이 있다면 언제든지 전화해주세요:) "
2025-02-26 15:24:36,"미진실장님","안녕하세요! 
저는 깡대표님과 7년 동안 함께한 작은깡대표 입니다!
저를 처음 보시면 이렇게 생각하실 수 있어요.
""어?대표님을 복사해 온 것 같은데?""
맞습니다!😃
저는 깡대표님의 복사기처럼,깡대표님의 생각과 경험을 닮아
대표님께서 겪게 될 궁긍증과 고민을 누구보다 잘 이해하고
해결해드릴 자신이 있습니다. 

이 학습지원방을 통해 언제든지 ""작은깡대표""를 불러주시면
대표님의 든든한 지원군이 되어 드리겠습니다!

자~준비 되셨나요?
그럼 달려볼까요?"
2025-02-26 15:27:53,"황여진","네네 ~  
감사합니다!"
2025-02-26 15:31:12,"깡회장님","우선 이미 저와 인연이 된만큼 저 또한 대표님이 꼭 성공하길 바라는 사람입니다! 그러니 저를 믿고 열심히 따라와주세요!"
2025-02-26 16:58:17,"캐이 코치","안녕하세요 캐이코치입니다.

깡대표님과 7년동안 마케팅업무를 하면서 마케팅에서는 자신있다고 생각합니다 마케팅쪽으로 궁금하신것과 강의중 이해가 안된다 하시는건 언제든 물어봐주시면 답변해드리겠습니다."
2025-02-26 17:39:13,"조재훈","안녕하세요, 대표님.
저는 마케팅을 담당하고 있는 마크 팀장입니다.
교육 과정 중 마케팅 관련 문의사항이 있으시면 언제든지 물어봐 주세요. 성심성의껏 답변해 드리겠습니다.
저는 깡대표님과 사업초기부터 지금까지 함께 일해왔으며 많은것을 배워왔습니다.
이곳에서 함께 성장할수 있도록 많은 서포트 해드리겠습니다."
2025-02-26 17:55:53,"미진실장님","대표님에게 집중하기 위해 
1:4 학습지원방이 개설 되었습니다. 
이방에는 대표님과 깡대표님 외 코치친3명이 함께하며
언제든지 도움을 드릴 준비가 되어 있습니다. 

[학습지원방 이용 안내 공지사항]

✅ 24시간 문의 가능:
◾언제든지 궁금하신 내용을 말씀해주세요!
빠른 답변을 위해 최선을 다하겠습니다.

⌛ 다만,아래의 상황에서는 답변이 다소 
늦어질 수 있습니다.
◾퇴근 시간 이후
◾주말 및 공휴일
◾코치진 전체 회의 시간 중

🚀가능한 빠르게 답변을 드리기 위해 노력하겠습니다!
대표님의 기다림이 길지 않도록 항상 최선을 다할 것을
약속 드립니다 🙏

✅ 전화 상담 요청: 
◾전화 상담을 원하실 경우 언제든지 요청해주세요!
깡대표님과의 상담은 가능한 일정 체크 후 
빠르게 연락 드리겠습니다.

작은 고민도 편하게 말씀해 주세요! 
저희가 대표님의 든든한 버팀목이 되어 
끝까지 함께 하겠습니다!

📌카페 등업 신청 안내 
화온연카페 https://cafe.naver.com/tlzm1234
카페 가입 후 이방을 통해 가입하신 아이디를 말씀해주시면 
확인 후 등업 신청을 해드립니다 😊

감사합니다."
